-20	-0.618
-19.5	-0.63
-19	-0.642
-18.5	-0.653
-18	-0.662
-17.5	-0.668
-17	-0.673
-16.5	-0.675
-16	-0.676
-15.5	-0.675
-15	-0.671
-14.5	-0.664
-14	-0.655
-13.5	-0.643
-13	-0.628
-12.5	-0.61
-12	-0.589
-11.5	-0.565
-11	-0.539
-10.5	-0.51
-10	-0.477
-9.5	-0.442
-9	-0.405
-8.5	-0.366
-8	-0.326
-7.5	-0.284
-7	-0.24
-6.5	-0.196
-6	-0.15
-5.5	-0.103
-5	-0.056
-4.5	-0.008
-4	0.041
-3.5	0.109
-3	0.17
-2.5	0.23
-2	0.29
-1.5	0.351
-1	0.411
-0.5	0.471
0	0.527
0.5	0.586
1	0.645
1.5	0.704
2	0.761
2.5	0.818
3	0.874
3.5	0.93
4	0.984
4.5	1.038
5	1.09
5.5	1.141
6	1.19
6.5	1.239
7	1.286
7.5	1.333
8	1.381
8.5	1.416
9	1.445
9.5	1.46
10	1.274
10.5	1.294
11	1.312
11.5	1.327
12	1.339
12.5	1.347
13	1.351
13.5	1.352
14	1.349
14.5	1.343
